avgx,avgy,avgz,avgTf,label
-0.143746046,-0.982019119,-0.121464765,1.062800801,walk
-0.0729379,-0.9940028,-0.0998034,1.060742,walk
-0.1385142,-1.0173418,-0.159482,1.13394,walk
-0.2899479,-0.9608779,-0.2061244,1.116975,walk
-0.2004861,-0.9757912,-0.1771562,1.119866,walk
-0.1570853,-0.9638732,-0.1341169,1.084886,walk
-0.1812239,-1.0019013,-0.1638574,1.125965,walk
-0.1036676,-1.0114391,-0.1387165,1.117037,walk
-0.035837,-0.997985,-0.110551,1.088942,walk
-0.0942402,-0.9781313,-0.0758637,1.076989,walk
-0.07083,-1.030157,-0.1184644,1.125003,walk
-0.0637235,-0.9958157,-0.075334,1.089638,walk
-0.0715488,-0.9709094,-0.0241175,1.075745,walk
-0.0604542,-0.9887913,-0.0028006,1.083424,walk
-0.0620285,-1.0212005,-0.0351775,1.126416,walk
-0.0501258,-1.0106142,0.0473256,1.132698,walk
-0.0266816,-0.9931555,0.046224,1.107399,walk
-0.0119946,-0.9992891,-0.0078048,1.104527,walk
0.026264,-1.0008492,0.0390549,1.080098,walk
0.0091482,-1.0178343,-0.0455631,1.121867,walk
0.0157258,-1.0367506,-0.0454446,1.113653,walk
-0.043216,-1.028811,-0.0395904,1.119173,walk
-0.0782952,-1.0314873,-0.1132193,1.168501,walk
-0.1023662,-0.9812504,-0.0877813,1.077066,walk
-0.0777334,-1.0026012,-0.0449219,1.019923,walk
0.0377971,-0.9986735,0.0112289,1.000349,walk
-0.0050663,-0.9908015,-0.04889,1.007476,walk
-0.0753612,-0.9970951,-0.0168359,1.001611,walk
-0.127186,-0.9883519,-0.0467131,0.999739,walk
-0.0494078,-0.9950761,-0.0265571,0.999435,walk
-0.1034628,-1.0207356,-0.1400437,1.103618,walk
-0.0430937,-0.9914502,-0.1547032,1.125576,walk
-0.0334456,-0.9846321,-0.079642,1.091292,walk
-0.0532711,-1.0323438,-0.1066244,1.137798,walk
-0.0498658,-1.0070504,-0.08583,1.109169,walk
-0.0215965,-0.9975721,-0.0156496,1.074238,walk
-0.0427011,-1.0016139,-0.0116378,1.101703,walk
-0.0397095,-1.0524018,-0.063485,1.158487,walk
-0.0204364,-0.9795281,-0.030807,1.059801,walk
-0.0706973,-1.0135172,-0.0846766,1.117601,walk
-0.0395985,-1.0171258,-0.1159753,1.124922,walk
-0.0313619,-1.0013267,-0.0492355,1.094559,walk
-0.0316747,-1.0632021,-0.1161206,1.196728,walk
-0.0287231,-0.9867125,-0.039344,1.065798,walk
-0.0635217,-1.020811,-0.0903156,1.110843,walk
-0.0335313,-1.0201469,-0.1301434,1.141574,walk
-0.03175,-1.0023074,-0.0283301,1.104272,walk
-0.0117639,-1.0534919,-0.0739192,1.156191,walk
-0.0445778,-0.9819118,-0.0655497,1.082524,walk
-0.082246,-1.0305383,-0.1071045,1.149676,walk
-0.0110849,-1.0166718,-0.0857868,1.129469,walk
-0.0164978,-1.014081,-0.0198881,1.108559,walk
-0.047732,-1.0238042,-0.1016545,1.129344,walk
-0.0720581,-0.991282,-0.066256,1.099201,walk
-0.1028647,-1.0179595,-0.1237717,1.152547,walk
-0.0266286,-1.0056146,-0.0500304,1.122885,walk
0.0054336,-1.0514377,-0.0792003,1.1594,walk
-0.0321054,-0.980466,-0.0733262,1.082625,walk
-0.0721193,-1.0421216,-0.1290411,1.153107,walk
0.0395867,-1.0011533,-0.000485,1.054715,walk
-0.0099679,-0.9896428,-0.0963238,1.009017,walk
0.0256484,-0.9950136,-0.0646115,1.001874,walk
0.0257957,-0.9930296,-0.123275,1.041528,walk
-0.0690917,-1.0165004,-0.0864659,1.123733,walk
-0.0930193,-0.9897362,-0.0760561,1.073591,walk
-0.0929507,-1.0276883,-0.144231,1.138801,walk
-0.0158333,-1.0070067,-0.0909267,1.091793,walk
0.0078447,-1.0353278,-0.1321829,1.132462,walk
-0.0189367,-0.9872366,-0.1005594,1.072262,walk
-0.0561828,-1.0431596,-0.1452458,1.163672,walk
-0.0983534,-1.0014273,-0.0665879,1.072022,walk
-0.0775109,-1.0270231,-0.1622378,1.127402,walk
-0.1404594,-0.9404571,-0.2245199,1.043734,walk
-0.0785649,-0.9955979,-0.1792226,1.064418,walk
-0.1466285,-1.0078398,-0.1732458,1.09317,walk
-0.1066934,-1.0397254,-0.1118119,1.14206,walk
-0.0381794,-1.0020305,-0.0896855,1.086101,walk
-0.1964817,-0.9879786,-0.1835161,1.107103,walk
-0.188549,-0.9397146,-0.1621892,1.040635,walk
-0.2900402,-0.9525762,-0.0622255,1.066141,walk
-0.25787,-0.9328297,0.0173923,1.024477,walk
-0.1603751,-1.002675,0.0093844,1.144347,walk
-0.2083017,-0.9728704,-0.0955956,1.062021,walk
-0.242614,-0.9653745,-0.1976791,1.122287,walk
-0.2063435,-0.9014791,-0.240043,1.029491,walk
